model,account,type,right,steps
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),4
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),3
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
gemma3_4b,a04DQjZn27c7bhVFTw6xq9RZf5obB44_W1prxw==,CoT,=FALSE(),+
